Statistical profiling result from isolate-0x105800000-v8.log, (71385 ticks, 5238 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      1    0.0%    0.0%  t v8::internal::PrototypeIterator::Advance()
      1    0.0%    0.0%  t v8::internal::Processor::VisitNoStackOverflowCheck(v8::internal::AstNode*)
      1    0.0%    0.0%  t v8::internal::Processor::SetResult(v8::internal::Expression*)
      1    0.0%    0.0%  t v8::internal::PointersUpdatingVisitor::VisitPointers(v8::internal::HeapObject*, v8::internal::Object**, v8::internal::Object**)
      1    0.0%    0.0%  t v8::internal::ParserBase<v8::internal::PreParser>::ParseFunctionBody(v8::internal::PreParserList<v8::internal::PreParserStatement>, v8::internal::PreParserIdentifier, int, v8::internal::PreParserFormalParameters const&, v8::internal::FunctionKind, v8::internal::FunctionLiteral::FunctionType, bool*)
      1    0.0%    0.0%  t v8::internal::ParserBase<v8::internal::Parser>::ValidateFormalParameters(v8::internal::LanguageMode, bool, bool*)
      1    0.0%    0.0%  t v8::internal::ParserBase<v8::internal::Parser>::ValidateExpression(bool*)
      1    0.0%    0.0%  t v8::internal::ParserBase<v8::internal::Parser>::ParseWithStatement(v8::internal::ZoneList<v8::internal::AstRawString const*>*, bool*)
      1    0.0%    0.0%  t v8::internal::ParserBase<v8::internal::Parser>::ParseVariableStatement(v8::internal::ParserBase<v8::internal::Parser>::VariableDeclarationContext, v8::internal::ZoneList<v8::internal::AstRawString const*>*, bool*)
      1    0.0%    0.0%  t v8::internal::ParserBase<v8::internal::Parser>::ParseStatementAsUnlabelled(v8::internal::ZoneList<v8::internal::AstRawString const*>*, bool*)
      1    0.0%    0.0%  t v8::internal::ParserBase<v8::internal::Parser>::ParsePropertyName(v8::internal::AstRawString const**, v8::internal::ParserBase<v8::internal::Parser>::PropertyKind*, bool*, bool*, bool*, bool*, bool*, bool*)
      1    0.0%    0.0%  t v8::internal::ParserBase<v8::internal::Parser>::ParseForStatement(v8::internal::ZoneList<v8::internal::AstRawString const*>*, bool*)
      1    0.0%    0.0%  t v8::internal::ParserBase<v8::internal::Parser>::ParseBlock(v8::internal::ZoneList<v8::internal::AstRawString const*>*, bool*)
      1    0.0%    0.0%  t v8::internal::ParserBase<v8::internal::Parser>::ParseArguments(v8::internal::Scanner::Location*, bool, bool*)
      1    0.0%    0.0%  t v8::internal::ParserBase<v8::internal::Parser>::NewFunctionScope(v8::internal::FunctionKind, v8::internal::Zone*) const
      1    0.0%    0.0%  t v8::internal::ParserBase<v8::internal::Parser>::CheckPossibleEvalCall(v8::internal::Expression*, v8::internal::Scope*)
      1    0.0%    0.0%  t v8::internal::Parser::~Parser()
      1    0.0%    0.0%  t v8::internal::OrderedHashTable<v8::internal::OrderedHashSet, 1>::Rehash(v8::internal::Handle<v8::internal::OrderedHashSet>, int)
      1    0.0%    0.0%  t v8::internal::MatchSmiLiteralOperation(v8::internal::Expression*, v8::internal::Expression*, v8::internal::Expression**, v8::internal::Smi**)
      1    0.0%    0.0%  t v8::internal::MatchLiteralCompareTypeof(v8::internal::Expression*, v8::internal::Token::Value, v8::internal::Expression*, v8::internal::Expression**, v8::internal::Literal**)
      1    0.0%    0.0%  t v8::internal::MarkCompactWeakObjectRetainer::RetainAs(v8::internal::Object*)
      1    0.0%    0.0%  t v8::internal::Map::InitializeDescriptors(v8::internal::DescriptorArray*, v8::internal::LayoutDescriptor*)
      1    0.0%    0.0%  t v8::internal::LiveObjectRange<(v8::internal::LiveObjectIterationMode)2>::iterator::AdvanceToNextValidObject()
      1    0.0%    0.0%  t v8::internal::List<v8::internal::Variable*, v8::internal::ZoneAllocationPolicy>::Add(v8::internal::Variable* const&, v8::internal::ZoneAllocationPolicy)
      1    0.0%    0.0%  t v8::internal::List<v8::internal::Handle<v8::internal::String>, v8::internal::ZoneAllocationPolicy>::ResizeAddInternal(v8::internal::Handle<v8::internal::String> const&, v8::internal::ZoneAllocationPolicy)
      1    0.0%    0.0%  t v8::internal::List<v8::internal::Handle<v8::internal::String>, v8::internal::ZoneAllocationPolicy>::Add(v8::internal::Handle<v8::internal::String> const&, v8::internal::ZoneAllocationPolicy)
      1    0.0%    0.0%  t v8::internal::List<v8::internal::FuncNameInferrer::Name, v8::internal::ZoneAllocationPolicy>::ResizeAddInternal(v8::internal::FuncNameInferrer::Name const&, v8::internal::ZoneAllocationPolicy)
      1    0.0%    0.0%  t v8::internal::List<v8::internal::FrameSummary, v8::internal::FreeStoreAllocationPolicy>::Add(v8::internal::FrameSummary const&, v8::internal::FreeStoreAllocationPolicy)
      1    0.0%    0.0%  t v8::internal::List<int, v8::internal::ZoneAllocationPolicy>::Remove(int)
      1    0.0%    0.0%  t v8::internal::IterateAndScavengePromotedObjectsVisitor::VisitPointers(v8::internal::HeapObject*, v8::internal::Object**, v8::internal::Object**)
      1    0.0%    0.0%  t v8::internal::InternalizedStringKey::AsHandle(v8::internal::Isolate*)
      1    0.0%    0.0%  t v8::internal::IncrementalMarkingRootMarkingVisitor::VisitRootPointer(v8::internal::Root, v8::internal::Object**)
      1    0.0%    0.0%  t v8::internal::HeapObjectIterator::Next()
      1    0.0%    0.0%  t v8::internal::Handle<v8::internal::FixedArray> v8::internal::HandleScope::CloseAndEscape<v8::internal::FixedArray>(v8::internal::Handle<v8::internal::FixedArray>)
      1    0.0%    0.0%  t v8::internal::FixedArrayBuilder::EnsureCapacity(int)
      1    0.0%    0.0%  t v8::internal::FixStaleLeftTrimmedHandlesVisitor::VisitRootPointers(v8::internal::Root, v8::internal::Object**, v8::internal::Object**)
      1    0.0%    0.0%  t v8::internal::ExpressionClassifier<v8::internal::ParserTypes<v8::internal::PreParser> >::RecordBindingPatternError(v8::internal::Scanner::Location const&, v8::internal::MessageTemplate::Template, char const*)
      1    0.0%    0.0%  t v8::internal::ExpressionClassifier<v8::internal::ParserTypes<v8::internal::Parser> >::RecordBindingPatternError(v8::internal::Scanner::Location const&, v8::internal::MessageTemplate::Template, char const*)
      1    0.0%    0.0%  t v8::internal::Collector<unsigned int, 2, 1048576>::~Collector()
      1    0.0%    0.0%  t v8::internal::Call::Call(v8::internal::Expression*, v8::internal::ZoneList<v8::internal::Expression*>*, int, v8::internal::Call::PossiblyEval)
      1    0.0%    0.0%  t v8::internal::Builtin_Impl_HandleApiCall(v8::internal::BuiltinArguments, v8::internal::Isolate*)
      1    0.0%    0.0%  t v8::internal::Builtin_Impl_DateNow(v8::internal::BuiltinArguments, v8::internal::Isolate*)
      1    0.0%    0.0%  t v8::internal::AstValueFactory::AstValueFactory(v8::internal::Zone*, v8::internal::AstStringConstants const*, unsigned int)
      1    0.0%    0.0%  t v8::internal::(anonymous namespace)::UpdateDescriptorForValue(v8::internal::Handle<v8::internal::Map>, int, v8::internal::PropertyConstness, v8::internal::Handle<v8::internal::Object>)
      1    0.0%    0.0%  t v8::internal::(anonymous namespace)::StringReplaceGlobalRegExpWithStringHelper(v8::internal::Isolate*, v8::internal::Handle<v8::internal::JSRegExp>, v8::internal::Handle<v8::internal::String>, v8::internal::Handle<v8::internal::String>, v8::internal::Handle<v8::internal::RegExpMatchInfo>)
      1    0.0%    0.0%  t v8::internal::(anonymous namespace)::SloppyArgumentsElementsAccessor<v8::internal::(anonymous namespace)::FastSloppyArgumentsElementsAccessor, v8::internal::(anonymous namespace)::FastHoleyObjectElementsAccessor, v8::internal::(anonymous namespace)::ElementsKindTraits<(v8::internal::ElementsKind)7> >::GetImpl(v8::internal::Isolate*, v8::internal::FixedArrayBase*, unsigned int)
      1    0.0%    0.0%  t v8::internal::(anonymous namespace)::SetSharedFunctionFlagsFromLiteral(v8::internal::FunctionLiteral*, v8::internal::Handle<v8::internal::SharedFunctionInfo>)
      1    0.0%    0.0%  t v8::internal::(anonymous namespace)::ObjectBoilerplate::Create(v8::internal::Isolate*, v8::internal::Handle<v8::internal::HeapObject>, int, v8::internal::PretenureFlag)
      1    0.0%    0.0%  t v8::internal::(anonymous namespace)::NativeCodeFunctionSourceString(v8::internal::Handle<v8::internal::SharedFunctionInfo>)
      1    0.0%    0.0%  t v8::internal::(anonymous namespace)::GetUnoptimizedCompilationJob(v8::internal::CompilationInfo*)
      1    0.0%    0.0%  t v8::internal::(anonymous namespace)::EnsureJSArrayWithWritableFastElements(v8::internal::Isolate*, v8::internal::Handle<v8::internal::Object>, v8::internal::BuiltinArguments*, int)
      1    0.0%    0.0%  t v8::internal::(anonymous namespace)::CopyObjectToObjectElements(v8::internal::FixedArrayBase*, v8::internal::ElementsKind, unsigned int, v8::internal::FixedArrayBase*, v8::internal::ElementsKind, unsigned int, int)
      1    0.0%    0.0%  t v8::base::TemplateHashMapImpl<void*, void*, v8::base::KeyEqualityMatcher<void*>, v8::internal::ZoneAllocationPolicy>::Resize(v8::internal::ZoneAllocationPolicy)
      1    0.0%    0.0%  t v8::base::TemplateHashMapImpl<void*, void*, v8::base::KeyEqualityMatcher<void*>, v8::base::DefaultAllocationPolicy>::Initialize(unsigned int, v8::base::DefaultAllocationPolicy)
      1    0.0%    0.0%  t v8::base::TemplateHashMapImpl<long, unsigned int, v8::base::KeyEqualityMatcher<long>, v8::internal::ZoneAllocationPolicy>::FillEmptyEntry(v8::base::TemplateHashMapEntry<long, unsigned int>*, long const&, unsigned int const&, unsigned int, v8::internal::ZoneAllocationPolicy)
      1    0.0%    0.0%  t v8::base::Optional<v8::internal::CompilationHandleScope>::~Optional()
      1    0.0%    0.0%  t std::__1::vector<v8::internal::Handle<v8::internal::Map>, std::__1::allocator<v8::internal::Handle<v8::internal::Map> > >::__swap_out_circular_buffer(std::__1::__split_buffer<v8::internal::Handle<v8::internal::Map>, std::__1::allocator<v8::internal::Handle<v8::internal::Map> >&>&)
      1    0.0%    0.0%  t std::__1::vector<unsigned char, v8::internal::ZoneAllocator<unsigned char> >::reserve(unsigned long)
      1    0.0%    0.0%  t std::__1::vector<std::__1::locale::facet*, std::__1::__sso_allocator<std::__1::locale::facet*, 28ul> >::__append(unsigned long)
      1    0.0%    0.0%  t std::__1::deque<node::node_async_ids, std::__1::allocator<node::node_async_ids> >::push_back(node::node_async_ids&&)
      1    0.0%    0.0%  t std::__1::__tree_const_iterator<std::__1::__value_type<v8::internal::compiler::Instruction const*, v8::internal::SourcePosition>, std::__1::__tree_node<std::__1::__value_type<v8::internal::compiler::Instruction const*, v8::internal::SourcePosition>, void*>*, long> std::__1::__tree<std::__1::__value_type<v8::internal::compiler::Instruction const*, v8::internal::SourcePosition>, std::__1::__map_value_compare<v8::internal::compiler::Instruction const*, std::__1::__value_type<v8::internal::compiler::Instruction const*, v8::internal::SourcePosition>, std::__1::less<v8::internal::compiler::Instruction const*>, true>, v8::internal::ZoneAllocator<std::__1::__value_type<v8::internal::compiler::Instruction const*, v8::internal::SourcePosition> > >::find<v8::internal::compiler::Instruction const*>(v8::internal::compiler::Instruction const* const&) const
      1    0.0%    0.0%  t std::__1::__hash_iterator<std::__1::__hash_node<std::__1::__hash_value_type<unsigned long long, v8::internal::Cancelable*>, void*>*> std::__1::__hash_table<std::__1::__hash_value_type<unsigned long long, v8::internal::Cancelable*>, std::__1::__unordered_map_hasher<unsigned long long, std::__1::__hash_value_type<unsigned long long, v8::internal::Cancelable*>, std::__1::hash<unsigned long long>, true>, std::__1::__unordered_map_equal<unsigned long long, std::__1::__hash_value_type<unsigned long long, v8::internal::Cancelable*>, std::__1::equal_to<unsigned long long>, true>, std::__1::allocator<std::__1::__hash_value_type<unsigned long long, v8::internal::Cancelable*> > >::find<unsigned long long>(unsigned long long const&)
      1    0.0%    0.0%  t node::cares_wrap::(anonymous namespace)::ChannelWrap::New(v8::FunctionCallbackInfo<v8::Value> const&)
      1    0.0%    0.0%  t node::DLOpen(v8::FunctionCallbackInfo<v8::Value> const&)
      1    0.0%    0.0%  t node::Cwd(v8::FunctionCallbackInfo<v8::Value> const&)
      1    0.0%    0.0%  t node::(anonymous namespace)::TimerWrap::OnTimeout(uv_timer_s*)
      1    0.0%    0.0%  t int v8::internal::SlotSet::Iterate<v8::internal::RememberedSetUpdatingItem::UpdateUntypedPointers()::'lambda2'(unsigned char*)>(v8::internal::RememberedSetUpdatingItem::UpdateUntypedPointers()::'lambda2'(unsigned char*), v8::internal::SlotSet::EmptyBucketMode)
      1    0.0%    0.0%  t int v8::internal::SlotSet::Iterate<v8::internal::RememberedSetUpdatingItem::UpdateUntypedPointers()::'lambda0'(unsigned char*)>(v8::internal::RememberedSetUpdatingItem::UpdateUntypedPointers()::'lambda0'(unsigned char*), v8::internal::SlotSet::EmptyBucketMode)
      1    0.0%    0.0%  t _uv__run_timers
      1    0.0%    0.0%  T v8::internal::parsing::ParseProgram(v8::internal::ParseInfo*, v8::internal::Isolate*, bool)
      1    0.0%    0.0%  T v8::internal::parsing::ParseFunction(v8::internal::ParseInfo*, v8::internal::Isolate*, bool)
      1    0.0%    0.0%  T v8::internal::interpreter::InterpreterCompilationJob::InterpreterCompilationJob(v8::internal::CompilationInfo*)
      1    0.0%    0.0%  T v8::internal::interpreter::ConstantArrayBuilder::OperandSizeToSlice(v8::internal::interpreter::OperandSize) const
      1    0.0%    0.0%  T v8::internal::interpreter::ConstantArrayBuilder::InsertEmptyFixedArray()
      1    0.0%    0.0%  T v8::internal::interpreter::ConstantArrayBuilder::Insert(v8::internal::Scope const*)
      1    0.0%    0.0%  T v8::internal::interpreter::ConstantArrayBuilder::Insert(v8::internal::AstRawString const*)
      1    0.0%    0.0%  T v8::internal::interpreter::ConstantArrayBuilder::IndexToSlice(unsigned long) const
      1    0.0%    0.0%  T v8::internal::interpreter::BytecodeRegisterOptimizer::RegisterAllocateEvent(v8::internal::interpreter::Register)
      1    0.0%    0.0%  T v8::internal::interpreter::BytecodeRegisterOptimizer::Materialize(v8::internal::interpreter::BytecodeRegisterOptimizer::RegisterInfo*)
      1    0.0%    0.0%  T v8::internal::interpreter::BytecodeRegisterOptimizer::GrowRegisterMap(v8::internal::interpreter::Register)
      1    0.0%    0.0%  T v8::internal::interpreter::BytecodeRegisterOptimizer::GetMaterializedEquivalentNotAccumulator(v8::internal::interpreter::BytecodeRegisterOptimizer::RegisterInfo*)
      1    0.0%    0.0%  T v8::internal::interpreter::BytecodeGenerator::VisitVariableProxy(v8::internal::VariableProxy*)
      1    0.0%    0.0%  T v8::internal::interpreter::BytecodeGenerator::VisitThisFunctionVariable(v8::internal::Variable*)
      1    0.0%    0.0%  T v8::internal::interpreter::BytecodeGenerator::VisitRestArgumentsArray(v8::internal::Variable*)
      1    0.0%    0.0%  T v8::internal::interpreter::BytecodeGenerator::VisitPropertyLoad(v8::internal::interpreter::Register, v8::internal::Property*)
      1    0.0%    0.0%  T v8::internal::interpreter::BytecodeGenerator::VisitModuleNamespaceImports()
      1    0.0%    0.0%  T v8::internal::interpreter::BytecodeGenerator::VisitLogicalOrExpression(v8::internal::BinaryOperation*)
      1    0.0%    0.0%  T v8::internal::interpreter::BytecodeGenerator::VisitFunctionClosureForContext()
      1    0.0%    0.0%  T v8::internal::interpreter::BytecodeGenerator::VisitCountOperation(v8::internal::CountOperation*)
      1    0.0%    0.0%  T v8::internal::interpreter::BytecodeGenerator::ControlScope::PerformCommand(v8::internal::interpreter::BytecodeGenerator::ControlScope::Command, v8::internal::Statement*, int)
      1    0.0%    0.0%  T v8::internal::interpreter::BytecodeDecoder::DecodeUnsignedOperand(unsigned char const*, v8::internal::interpreter::OperandType, v8::internal::interpreter::OperandScale)
      1    0.0%    0.0%  T v8::internal::interpreter::BytecodeArrayWriter::PatchJumpWith8BitOperand(unsigned long, int)
      1    0.0%    0.0%  T v8::internal::interpreter::BytecodeArrayWriter::EmitJump(v8::internal::interpreter::BytecodeNode*, v8::internal::interpreter::BytecodeLabel*)
      1    0.0%    0.0%  T v8::internal::interpreter::BytecodeArrayBuilder::PushContext(v8::internal::interpreter::Register)
      1    0.0%    0.0%  T v8::internal::interpreter::BytecodeArrayBuilder::Local(int) const
      1    0.0%    0.0%  T v8::internal::interpreter::BytecodeArrayBuilder::LoadNamedProperty(v8::internal::interpreter::Register, v8::internal::AstRawString const*, int)
      1    0.0%    0.0%  T v8::internal::interpreter::BytecodeArrayBuilder::LoadLookupSlot(v8::internal::AstRawString const*, v8::internal::TypeofMode)
      1    0.0%    0.0%  T v8::internal::interpreter::BytecodeArrayBuilder::LoadLiteral(v8::internal::AstValue const*)
      1    0.0%    0.0%  T v8::internal::interpreter::BytecodeArrayBuilder::LoadKeyedProperty(v8::internal::interpreter::Register, int)
      1    0.0%    0.0%  T v8::internal::interpreter::BytecodeArrayBuilder::LoadContextSlot(v8::internal::interpreter::Register, int, int, v8::internal::interpreter::BytecodeArrayBuilder::ContextSlotMutability)
      1    0.0%    0.0%  T v8::internal::interpreter::BytecodeArrayBuilder::Jump(v8::internal::interpreter::BytecodeLabel*)
      1    0.0%    0.0%  T v8::internal::interpreter::BytecodeArrayBuilder::CreateFunctionContext(int)
      1    0.0%    0.0%  T v8::internal::interpreter::BytecodeArrayBuilder::CountOperation(v8::internal::Token::Value, int)
      1    0.0%    0.0%  T v8::internal::interpreter::BytecodeArrayBuilder::CallProperty(v8::internal::interpreter::Register, v8::internal::interpreter::RegisterList, int)
      1    0.0%    0.0%  T v8::internal::interpreter::BytecodeArrayBuilder::BytecodeArrayBuilder(v8::internal::Isolate*, v8::internal::Zone*, int, int, v8::internal::FunctionLiteral*, v8::internal::SourcePositionTableBuilder::RecordingMode)
      1    0.0%    0.0%  T v8::internal::interpreter::BytecodeArrayBuilder::BinaryOperationSmiLiteral(v8::internal::Token::Value, v8::internal::Smi*, int)
      1    0.0%    0.0%  T v8::internal::interpreter::BytecodeArrayAccessor::current_bytecode_size() const
      1    0.0%    0.0%  T v8::internal::compiler::ZoneStats::ReturnZone(v8::internal::Zone*)
      1    0.0%    0.0%  T v8::internal::compiler::Type::SlowIs(v8::internal::compiler::Type*)
      1    0.0%    0.0%  T v8::internal::compiler::StateValuesCache::IsKeysEqualToNode(v8::internal::compiler::StateValuesCache::StateValuesKey*, v8::internal::compiler::Node*)
      1    0.0%    0.0%  T v8::internal::compiler::StateValuesCache::GetValuesNodeFromCache(v8::internal::compiler::Node**, unsigned long, v8::internal::compiler::SparseInputMask)
      1    0.0%    0.0%  T v8::internal::compiler::StateValuesAccess::size()
      1    0.0%    0.0%  T v8::internal::compiler::SourcePositionTable::AddDecorator()
      1    0.0%    0.0%  T v8::internal::compiler::RegisterAllocator::SplitAndSpillRangesDefinedByMemoryOperand()
      1    0.0%    0.0%  T v8::internal::compiler::NodeCache<long long, v8::base::hash<long long>, std::__1::equal_to<long long> >::Find(v8::internal::Zone*, long long)
      1    0.0%    0.0%  T v8::internal::compiler::Node::New(v8::internal::Zone*, unsigned int, v8::internal::compiler::Operator const*, int, v8::internal::compiler::Node* const*, bool)
      1    0.0%    0.0%  T v8::internal::compiler::Node::AppendInput(v8::internal::Zone*, v8::internal::compiler::Node*)
      1    0.0%    0.0%  T v8::internal::compiler::LoopVariableOptimizer::Run()
      1    0.0%    0.0%  T v8::internal::compiler::LoadElimination::ReduceOtherNode(v8::internal::compiler::Node*)
      1    0.0%    0.0%  T v8::internal::compiler::JumpThreading::ApplyForwarding(v8::internal::ZoneVector<v8::internal::compiler::RpoNumber>&, v8::internal::compiler::InstructionSequence*)
      1    0.0%    0.0%  T v8::internal::compiler::JSOperatorBuilder::LessThan(v8::internal::CompareOperationHint)
      1    0.0%    0.0%  T v8::internal::compiler::JSNativeContextSpecialization::ReduceElementAccess(v8::internal::compiler::Node*, v8::internal::compiler::Node*, v8::internal::compiler::Node*, std::__1::vector<v8::internal::Handle<v8::internal::Map>, std::__1::allocator<v8::internal::Handle<v8::internal::Map> > > const&, v8::internal::compiler::AccessMode, v8::internal::LanguageMode, v8::internal::KeyedAccessStoreMode)
      1    0.0%    0.0%  T v8::internal::compiler::JSIntrinsicLowering::Reduce(v8::internal::compiler::Node*)
      1    0.0%    0.0%  T v8::internal::compiler::GraphReducer::Recurse(v8::internal::compiler::Node*)
      1    0.0%    0.0%  T v8::internal::compiler::GapResolver::PerformMove(v8::internal::compiler::ParallelMove*, v8::internal::compiler::MoveOperands*)
      1    0.0%    0.0%  T v8::internal::compiler::DeadCodeElimination::Reduce(v8::internal::compiler::Node*)
      1    0.0%    0.0%  T v8::internal::compiler::CodeGenerator::FinalizeCode()
      1    0.0%    0.0%  T v8::internal::compiler::BitsetType::Lub(v8::internal::compiler::Type*)
      1    0.0%    0.0%  T v8::internal::compiler::AccessInfoFactory::ComputePropertyAccessInfo(v8::internal::Handle<v8::internal::Map>, v8::internal::Handle<v8::internal::Name>, v8::internal::compiler::AccessMode, v8::internal::compiler::PropertyAccessInfo*)
      1    0.0%    0.0%  T v8::internal::Zone::~Zone()
      1    0.0%    0.0%  T v8::internal::VariableProxy::VariableProxy(v8::internal::Variable*, int)
      1    0.0%    0.0%  T v8::internal::TranslationIterator::Next()
      1    0.0%    0.0%  T v8::internal::TransitionArray::SearchDetails(int, v8::internal::PropertyKind, v8::internal::PropertyAttributes, int*)
      1    0.0%    0.0%  T v8::internal::Trace::PerformDeferredActions(v8::internal::RegExpMacroAssembler*, int, v8::internal::OutSet const&, v8::internal::OutSet*, v8::internal::OutSet*, v8::internal::Zone*)
      1    0.0%    0.0%  T v8::internal::TimerEventScope<v8::internal::TimerEventCompileCode>::LogTimerEvent(v8::internal::Logger::StartEnd)
      1    0.0%    0.0%  T v8::internal::ThreadId::GetCurrentThreadId()
      1    0.0%    0.0%  T v8::internal::StubCache::Set(v8::internal::Name*, v8::internal::Map*, v8::internal::Object*)
      1    0.0%    0.0%  T v8::internal::Strtod(v8::internal::Vector<char const>, int)
      1    0.0%    0.0%  T v8::internal::StringTable::LookupTwoCharsStringIfExists(v8::internal::Isolate*, unsigned short, unsigned short)
      1    0.0%    0.0%  T v8::internal::String::ToNumber(v8::internal::Handle<v8::internal::String>)
      1    0.0%    0.0%  T v8::internal::String::SlowEquals(v8::internal::Handle<v8::internal::String>, v8::internal::Handle<v8::internal::String>)
      1    0.0%    0.0%  T v8::internal::StoreIC::Store(v8::internal::Handle<v8::internal::Object>, v8::internal::Handle<v8::internal::Name>, v8::internal::Handle<v8::internal::Object>, v8::internal::Object::StoreFromKeyed)
      1    0.0%    0.0%  T v8::internal::StoreBuffer::MoveEntriesToRememberedSet(int)
      1    0.0%    0.0%  T v8::internal::StackGuard::PopPostponeInterruptsScope()
      1    0.0%    0.0%  T v8::internal::StackGuard::CheckAndClearInterrupt(v8::internal::StackGuard::InterruptFlag)
      1    0.0%    0.0%  T v8::internal::StackFrameIterator::Advance()
      1    0.0%    0.0%  T v8::internal::SerializerDeserializer::Iterate(v8::internal::Isolate*, v8::internal::RootVisitor*)
      1    0.0%    0.0%  T v8::internal::Script::GetLineNumber(v8::internal::Handle<v8::internal::Script>, int)
      1    0.0%    0.0%  T v8::internal::ScopeInfo::ContextSlotIndex(v8::internal::Handle<v8::internal::ScopeInfo>, v8::internal::Handle<v8::internal::String>, v8::internal::VariableMode*, v8::internal::InitializationFlag*, v8::internal::MaybeAssignedFlag*)
      1    0.0%    0.0%  T v8::internal::Scope::Snapshot::~Snapshot()
      1    0.0%    0.0%  T v8::internal::Scope::NewTemporary(v8::internal::AstRawString const*, v8::internal::MaybeAssignedFlag)
      1    0.0%    0.0%  T v8::internal::Scope::GetDeclarationScope()
      1    0.0%    0.0%  T v8::internal::Scope::AllowsLazyParsingWithoutUnresolvedVariables(v8::internal::Scope const*) const
      1    0.0%    0.0%  T v8::internal::Scope::AllocateStackSlot(v8::internal::Variable*)
      1    0.0%    0.0%  T v8::internal::Scavenger::RecordCopiedObject(v8::internal::HeapObject*)
      1    0.0%    0.0%  T v8::internal::ScavengeJob::ScheduleIdleTaskIfNeeded(v8::internal::Heap*, int)
      1    0.0%    0.0%  T v8::internal::ScannerStream::For(v8::internal::Handle<v8::internal::String>, int, int)
      1    0.0%    0.0%  T v8::internal::Scanner::SourceUrl(v8::internal::Isolate*) const
      1    0.0%    0.0%  T v8::internal::Scanner::Scanner(v8::internal::UnicodeCache*)
      1    0.0%    0.0%  T v8::internal::Scanner::Initialize(v8::internal::Utf16CharacterStream*, bool)
      1    0.0%    0.0%  T v8::internal::SaveContext::~SaveContext()
      1    0.0%    0.0%  T v8::internal::SafepointTable::FindEntry(unsigned char*) const
      1    0.0%    0.0%  T v8::internal::Runtime_ToString(int, v8::internal::Object**, v8::internal::Isolate*)
      1    0.0%    0.0%  T v8::internal::Runtime_StringSplit(int, v8::internal::Object**, v8::internal::Isolate*)
      1    0.0%    0.0%  T v8::internal::Runtime_StoreIC_Miss(int, v8::internal::Object**, v8::internal::Isolate*)
      1    0.0%    0.0%  T v8::internal::Runtime_StoreCallbackProperty(int, v8::internal::Object**, v8::internal::Isolate*)
      1    0.0%    0.0%  T v8::internal::Runtime_ObjectKeys(int, v8::internal::Object**, v8::internal::Isolate*)
      1    0.0%    0.0%  T v8::internal::Runtime_LoadIC_Miss(int, v8::internal::Object**, v8::internal::Isolate*)
      1    0.0%    0.0%  T v8::internal::Runtime_KeyedStoreIC_Slow(int, v8::internal::Object**, v8::internal::Isolate*)
      1    0.0%    0.0%  T v8::internal::Runtime_KeyedLoadIC_Miss(int, v8::internal::Object**, v8::internal::Isolate*)
      1    0.0%    0.0%  T v8::internal::Runtime_ForInPrepare(int, v8::internal::Object**, v8::internal::Isolate*)
      1    0.0%    0.0%  T v8::internal::RelocIterator::AdvanceReadLongPCJump()
      1    0.0%    0.0%  T v8::internal::RegExpUtils::SetLastIndex(v8::internal::Isolate*, v8::internal::Handle<v8::internal::JSReceiver>, int)
      1    0.0%    0.0%  T v8::internal::RegExpUtils::IsUnmodifiedRegExp(v8::internal::Isolate*, v8::internal::Handle<v8::internal::Object>)
      1    0.0%    0.0%  T v8::internal::RegExpParser::ParseDisjunction()
      1    0.0%    0.0%  T v8::internal::RegExpMacroAssemblerX64::register_location(int)
      1    0.0%    0.0%  T v8::internal::RegExpImpl::Exec(v8::internal::Handle<v8::internal::JSRegExp>, v8::internal::Handle<v8::internal::String>, int, v8::internal::Handle<v8::internal::RegExpMatchInfo>)
      1    0.0%    0.0%  T v8::internal::RegExpCompiler::Assemble(v8::internal::RegExpMacroAssembler*, v8::internal::RegExpNode*, int, v8::internal::Handle<v8::internal::String>)
      1    0.0%    0.0%  T v8::internal::PerIsolateAssertScope<(v8::internal::PerIsolateAssertType)0, true>::IsAllowed(v8::internal::Isolate*)
      1    0.0%    0.0%  T v8::internal::Parser::SetFunctionNameFromPropertyName(v8::internal::ObjectLiteralProperty*, v8::internal::AstRawString const*, v8::internal::AstRawString const*)
      1    0.0%    0.0%  T v8::internal::Parser::RewriteReturn(v8::internal::Expression*, int)
      1    0.0%    0.0%  T v8::internal::Parser::HandleSourceURLComments(v8::internal::Isolate*, v8::internal::Handle<v8::internal::Script>)
      1    0.0%    0.0%  T v8::internal::Parser::DoParseProgram(v8::internal::ParseInfo*)
      1    0.0%    0.0%  T v8::internal::Parser::DeserializeScopeChain(v8::internal::ParseInfo*, v8::internal::MaybeHandle<v8::internal::ScopeInfo>)
      1    0.0%    0.0%  T v8::internal::Parser::Declare(v8::internal::Declaration*, v8::internal::ParserBase<v8::internal::Parser>::DeclarationDescriptor::Kind, v8::internal::VariableMode, v8::internal::InitializationFlag, bool*, v8::internal::Scope*, int)
      1    0.0%    0.0%  T v8::internal::Parser::BuildUnaryExpression(v8::internal::Expression*, v8::internal::Token::Value, int)
      1    0.0%    0.0%  T v8::internal::PagedSpace::Expand()
      1    0.0%    0.0%  T v8::internal::OrderedHashSet::Add(v8::internal::Handle<v8::internal::OrderedHashSet>, v8::internal::Handle<v8::internal::Object>)
      1    0.0%    0.0%  T v8::internal::OldSpaces::next()
